Lat,Lon,Radius,Count_Time,Count,Data_Time
33.703049,-84.736211,10,18.0,427,2.4
33.703049,-84.736211,20,40.0,3475,37.0
33.703049,-84.736211,50,55.0,9546,164.4
33.703049,-84.736211,100,145.0,26984,63.0
36.69225,-117.444194,10,1.0,0,1.0
36.69225,-117.444194,20,0.0,0,1.0
36.69225,-117.444194,50,2.0,350,2.0
36.69225,-117.444194,100,36.0,3697,38.0
48.590242,-114.165567,10,1.0,58,1.0
48.590242,-114.165567,20,1.0,294,1.0
48.590242,-114.165567,50,2.0,786,3.0
48.590242,-114.165567,100,32.0,2225,33.0
25.456238,-78.373441,10,0.0,0,0.0
25.456238,-78.373441,20,0.0,0,0.0
25.456238,-78.373441,50,0.0,0,0.0
25.456238,-78.373441,100,146.0,6172,142.0
35.70935,-100.029705,10,1.0,69,0.0
35.70935,-100.029705,20,1.0,223,1.0
35.70935,-100.029705,50,47.0,1500,133.0
35.70935,-100.029705,100,37.0,7193,39.0
25.134945,-71.489473,10,1.0,0,0.0
25.134945,-71.489473,20,1.0,0,0.0
25.134945,-71.489473,50,0.0,0,1.0
25.134945,-71.489473,100,0.0,0,0.0
35.71742,-110.336378,10,0.0,63,1.0
35.71742,-110.336378,20,1.0,109,1.0
35.71742,-110.336378,50,2.0,481,2.0
35.71742,-110.336378,100,36.0,3082,145.0
42.608155,-121.245923,10,1.0,31,0.0
42.608155,-121.245923,20,1.0,120,1.0
42.608155,-121.245923,50,2.0,658,2.0
42.608155,-121.245923,100,39.0,3178,37.0
44.943664,-93.732291,10,2.0,558,2.0
44.943664,-93.732291,20,33.0,1994,33.0
44.943664,-93.732291,50,33.0,7977,50.0
44.943664,-93.732291,100,37.0,18401,53.0
26.310566,-97.929191,10,2.0,349,1.0
26.310566,-97.929191,20,2.0,1021,3.0
26.310566,-97.929191,50,32.0,1739,32.0
26.310566,-97.929191,100,35.0,3948,153.0

Execution finished for 2.0 sec.
CSV report file created.
----------
OS       :Windows 10.0.19044
CPU      :Intel(R) Core(TM) i5-9400F CPU @ 2.90GHz - 6 core(s)
CPU      :Intel64 Family 6 Model 158 Stepping 10, GenuineIntel
RAM (GB) :24.0
