Lat,Lon,Radius,Count_Time,Count,Data_Time
28.481552,-92.312848,10,34.0,0,3.0
28.481552,-92.312848,20,1.0,0,1.0
28.481552,-92.312848,50,1.0,0,1.0
28.481552,-92.312848,100,151.0,3022,82.0
40.459176,-114.300666,10,2.0,0,1.0
40.459176,-114.300666,20,1.0,52,2.0
40.459176,-114.300666,50,2.0,168,2.0
40.459176,-114.300666,100,63.0,1182,80.0
42.884984,-100.708755,10,2.0,38,1.0
42.884984,-100.708755,20,2.0,115,1.0
42.884984,-100.708755,50,7.0,808,8.0
42.884984,-100.708755,100,100.0,3423,108.0
44.471764,-68.172045,10,4.0,293,3.0
44.471764,-68.172045,20,5.0,719,6.0
44.471764,-68.172045,50,108.0,2932,93.0
44.471764,-68.172045,100,78.0,8019,91.0
25.624599,-121.401371,10,2.0,0,0.0
25.624599,-121.401371,20,1.0,0,1.0
25.624599,-121.401371,50,0.0,0,1.0
25.624599,-121.401371,100,1.0,0,0.0
24.673004,-71.529615,10,1.0,0,0.0
24.673004,-71.529615,20,1.0,0,1.0
24.673004,-71.529615,50,1.0,0,0.0
24.673004,-71.529615,100,1.0,0,1.0
41.847231,-84.607581,10,2.0,241,2.0
41.847231,-84.607581,20,65.0,1039,97.0
41.847231,-84.607581,50,85.0,8769,109.0
41.847231,-84.607581,100,96.0,35598,250.0
29.886208,-85.363348,10,4.0,73,1.0
29.886208,-85.363348,20,2.0,335,3.0
29.886208,-85.363348,50,67.0,1413,71.0
29.886208,-85.363348,100,91.0,7266,129.0
45.045238,-76.233409,10,2.0,0,1.0
45.045238,-76.233409,20,1.0,0,1.0
45.045238,-76.233409,50,4.0,700,15.0
45.045238,-76.233409,100,117.0,6416,107.0
40.94374,-100.943884,10,2.0,20,1.0
40.94374,-100.943884,20,1.0,145,2.0
40.94374,-100.943884,50,57.0,1142,106.0
40.94374,-100.943884,100,60.0,5059,110.0

Execution finished for 2.7 sec.
CSV report file created.
----------
OS       :Windows 6.3.9600
CPU      :Intel(R) Xeon(R) CPU E5-2620 v2 @ 2.10GHz - 4 core(s)
CPU      :Intel64 Family 6 Model 62 Stepping 4, GenuineIntel
RAM (GB) :12.0
